INFO  - 2015-04-07 19:10:10.113; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2015-04-07 19:10:10.113; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2015-04-07 19:10:10.113; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2015-04-07 19:10:10.113; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2015-04-07 19:10:10.113; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2015-04-07 19:10:10.114; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2015-04-07 19:10:10.114; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/fontbox-1.8.1.jar' to classloader
INFO  - 2015-04-07 19:10:10.114; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/icu4j-52.1.jar' to classloader
INFO  - 2015-04-07 19:10:10.114; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2015-04-07 19:10:10.114; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2015-04-07 19:10:10.115; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/jempbox-1.8.1.jar' to classloader
INFO  - 2015-04-07 19:10:10.115; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2015-04-07 19:10:10.115; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
